scenario,scenario_name,DISTRICT,CROP,YEAR,AREA,predicted_yield,predicted_production,predicted_yield_p10,predicted_yield_p90
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,COTTON,2025,14.769088830456099,6.583976143950511,97.2393285276089,4.100756485718958,9.067195802182063
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,RICE,2025,120.25213901909046,2.993890668492022,360.0217568754603,1.7641138480350187,4.223667488949026
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,SUGARCANE,2025,25.618212339469437,66.1329605816199,1694.2082268177007,47.72315896029008,84.54276220294972
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,WHEAT,2025,34.72996608360961,3.433688637838239,119.25188993379773,2.7338200835338986,4.13355719214258
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,COTTON,2025,10.589163522731809,5.132131575035407,54.34498046822508,2.648911916803854,7.61535123326696
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,RICE,2025,48.988192142067646,3.3374114380963986,163.49375278660068,2.107634617639395,4.5671882585534025
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,SUGARCANE,2025,6.31528981365031,57.004512785577774,360.00001892685816,38.594711164247954,75.4143144069076
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,WHEAT,2025,80.8246983727754,3.051566561431658,246.64194689216114,2.3516980071273172,3.7514351157359984
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Ghotki,COTTON,2025,83.95907587363317,4.562831076681863,383.0910805657038,2.07961141845031,7.046050734913416
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Ghotki,RICE,2025,43.226975343926824,3.2593578724622354,140.89218238995883,2.029581052005232,4.489134692919238
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Ghotki,SUGARCANE,2025,53.85629282420541,53.594864480420625,2886.4207153311386,35.185062859090806,72.00466610175044
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Ghotki,WHEAT,2025,111.64564345870895,3.4947285431412434,390.1712169125206,2.794859988836903,4.194597097445584
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Hyderabad,COTTON,2025,3.4124999999999996,6.004480441923434,20.490289508063714,3.521260783691881,8.487700100154987
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Hyderabad,RICE,2025,0.5025000000000001,3.113163512570412,1.5643646650666323,1.8833866921134086,4.342940333027416
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Hyderabad,SUGARCANE,2025,2.5425,48.04685602217918,122.15913143639055,29.637054400849358,66.456657643509
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Hyderabad,WHEAT,2025,8.865,3.2739289953867514,29.023380544103553,2.574060441082411,3.973797549691092
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jacobabad,RICE,2025,100.20278914675418,3.3427842387679823,334.9563042403613,2.113007418310979,4.572561059224986
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jacobabad,SUGARCANE,2025,0.14078122022788753,37.994964735299675,5.348977497951044,19.585163113969855,56.404766356629494
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jacobabad,WHEAT,2025,30.499156282153535,2.920810039240546,89.08224185728041,2.220941484936205,3.620678593544887
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jamshoro,COTTON,2025,15.413691551389164,4.319434030310867,66.57842381978546,1.836214372079314,6.80265368854242
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jamshoro,RICE,2025,0.4699470294576962,2.6407479525198303,1.2410116558331876,1.4109711320628269,3.8705247729768337
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jamshoro,SUGARCANE,2025,0.512859647117105,58.387787944098164,29.94474032095854,39.977986322768345,76.79758956542798
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Jamshoro,WHEAT,2025,37.55544262794831,3.90341510038927,146.59448185573632,3.2035465460849295,4.603283654693611
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Karachi,COTTON,2025,0.4755657177698911,4.0000765368146345,1.9022992693647518,1.5168568785830816,6.483296195046187
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Karachi,WHEAT,2025,1.461579970275487,3.277736120498477,4.790673461569054,2.5778675661941364,3.9776046748028175
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Kashmore,RICE,2025,85.6398182233911,3.6675295027565085,314.08655994499134,2.437752682299505,4.8973063232135114
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Kashmore,SUGARCANE,2025,0.08937273731946149,49.4185666390175,4.416672574933214,31.00876501768768,67.82836826034732
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Kashmore,WHEAT,2025,41.180504553942455,2.9041380455167283,119.59387000867918,2.2042694912123872,3.6040065998210693
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Khairpur,COTTON,2025,81.74293129072817,4.350231496069875,355.60067428200136,1.867011837838322,6.833451154301428
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Khairpur,RICE,2025,8.440489310620706,3.1079216961197424,26.23237985434486,1.878144875662739,4.337698516576745
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Khairpur,SUGARCANE,2025,23.158410502648508,64.23131261349101,1487.49510462717,45.821510992161194,82.64111423482083
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Khairpur,WHEAT,2025,105.93816965816819,3.6430356635494547,385.93653019585946,2.943167109245114,4.342904217853795
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Larkana,COTTON,2025,0.23234785259711543,4.102665037390309,0.9532454113629025,1.6194453791587557,6.5858846956218615
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Larkana,RICE,2025,102.024897298121,3.3451700308192986,341.2906288390912,2.115393210362295,4.574946851276302
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Larkana,SUGARCANE,2025,0.6961552532296746,56.66523044579957,39.44779785031347,38.25542882446975,75.0750320671294
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Larkana,WHEAT,2025,52.33837811059007,3.276029615395541,171.46207671206278,2.5761610610912005,3.9758981696998816
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Matiari,COTTON,2025,40.43170953850813,6.501288668973386,262.8582150899261,4.018069010741833,8.984508327204939
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Matiari,RICE,2025,0.8474006325978469,2.3312537760598464,1.9755059245792332,1.101476955602843,3.56103059651685
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Matiari,SUGARCANE,2025,13.304736481079317,42.95582112539546,571.5158804017666,24.54601950406564,61.36562274672528
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Matiari,WHEAT,2025,42.07977325559227,3.900273992595328,164.12264524309498,3.2004054382909874,4.600142546899669
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Mirpurkhas,COTTON,2025,29.704283373347266,6.5971861161193575,195.96468585992164,4.113966457887805,9.080405774350911
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Mirpurkhas,SUGARCANE,2025,19.055146907511016,58.33892740410236,1111.6568321117907,39.92912578277254,76.74872902543217
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Mirpurkhas,WHEAT,2025,55.32331504134754,3.2854398880541913,181.76142597623164,2.5855713337498507,3.985308442358532
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Nawabshah,COTTON,2025,61.82248351815838,4.142722023308651,256.1133640063108,1.6595023650770981,6.625941681540204
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Nawabshah,RICE,2025,10.222468655919897,2.649593464582475,27.085386142624557,1.4198166441254716,3.8793702850394784
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Nawabshah,SUGARCANE,2025,36.45111695438413,67.98080605418191,2477.97631213429,49.57100443285209,86.39060767551173
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Nawabshah,WHEAT,2025,92.76762509050695,3.2270994481093043,299.37035173198586,2.5272308938049637,3.926968002413645
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Sanghar,COTTON,2025,114.1307362524295,5.488321595974138,626.3861845386373,3.0051019377425847,7.9715412542056905
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Sanghar,RICE,2025,7.332498380397027,3.1088827227605833,22.795877529486276,1.8791059023035799,4.338659543217586
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Sanghar,SUGARCANE,2025,14.298380397088437,59.16362803287476,845.9440592858884,40.75382641154494,77.57342965420457
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Sanghar,WHEAT,2025,107.77841126481479,3.5640512073592223,384.12777679562197,2.8641826530548817,4.263919761663563
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Tharparkar,COTTON,2025,0.9310643649251116,4.744165786117857,4.4171237047512655,2.260946127886304,7.22738544434941
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Tharparkar,SUGARCANE,2025,0.4922114248694953,56.45836098050097,27.7894503040087,38.04855935917115,74.86816260183079
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Tharparkar,WHEAT,2025,2.208946305399934,3.2521844331414584,7.183900788067003,2.552315878837118,3.952052987445799
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Thatta,COTTON,2025,6.20801989253448,4.005020709129477,24.863248232288342,1.521801050897924,6.48824036736103
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Thatta,RICE,2025,86.67400708814421,2.4397962480955915,211.46691730106494,1.210019427638588,3.669573068552595
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Thatta,SUGARCANE,2025,38.223687359475434,60.474303554816885,2311.5508723613343,42.064501933487065,78.8841051761467
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Thatta,WHEAT,2025,19.856964292519137,3.0095286365263103,59.76010267281675,2.3096600822219697,3.709397190830651
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Umarkot,COTTON,2025,21.14404214778415,6.9303865745253335,146.53638583220106,4.447166916293781,9.413606232756887
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Umarkot,SUGARCANE,2025,1.5808871613125177,60.28479286332047,95.30345506000782,41.87499124199065,78.69459448465028
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Umarkot,WHEAT,2025,36.304680080789666,3.4825565658139093,126.4331019851275,2.7826880115095687,4.18242512011825
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,COTTON,2026,14.907894135131983,5.008493858750724,74.66609622271447,2.5252742005191715,7.491713516982277
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,RICE,2026,122.19404024236701,2.6179891851086516,319.9026758392482,1.3882123646516482,3.847766005565655
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,SUGARCANE,2026,25.079921115811885,46.558598630201935,1167.6859809082118,28.148797008872116,64.96840025153176
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Badin,WHEAT,2026,34.91463930490454,3.4932549858285507,121.96573783026327,2.79338643152421,4.193123540132891
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,COTTON,2026,10.537564879387446,4.450757933018701,46.90015048163293,1.967538274787148,6.933977591250254
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,RICE,2026,49.322459128844116,2.785834250540914,137.40419596203833,1.5560574300839107,4.015611070997918
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,SUGARCANE,2026,6.4381102092145,44.31195434234412,285.2852456416925,25.902152721014303,62.72175596367394
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Dadu,WHEAT,2026,81.77092145878578,3.2995886228159916,269.8104021225896,2.599720068511651,3.999457177120332
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Ghotki,COTTON,2026,83.88876757745547,4.2009715851705165,352.4143289078641,1.7177519269389636,6.684191243402069
rcp_4.5,Composite RCP 4.5 / Near-Term 1.0C SWL - Moderate Emissions,Ghotki,RICE,2026,44.33272093289088,3.111622296787923,137.94668293205993,1.8818454763309194,4.341399117244926
